"Sl No.","Course","Instructor name","Department","Programm","Branch/Semester/Section","Offered L-T-P","Time Table"
"1","CSC206(Algorithm Design & Analysis)","Prasanta K. Jana","cse","b.tech","cse/4/","3-0-0","Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         10:00-10:50                                         NAC Hall                                                                                                                                                   Tuesday                                         11:00-11:50                                         NAC Hall                                                                                                                                                   Friday                                         08:00-08:50                                         NAC Hall"
"2","CSC207(Computer Architecture)","Hari  Om","cse","b.tech","cse/4/","3-0-0","Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         NAC Hall                                                                                                                                                   Wednesday                                         10:00-10:50                                         NAC Hall                                                                                                                                                   Friday                                         10:00-10:50                                         NAC Hall"
"3","CSC208(Theory of Computation)","Ayan  Das","cse","b.tech","cse/4/","3-0-0","Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         10:00-10:50                                         NAC Hall                                                                                                                                                   Thursday                                         09:00-09:50                                         NAC Hall                                                                                                                                                   Friday                                         11:00-11:50                                         NAC Hall"
"4","CSC209(Operating Systems)","Annavarapu Chandra Sekhara Rao","cse","b.tech","cse/4/","3-0-0","Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         11:00-11:50                                         NAC Hall                                                                                                                                                   Thursday                                         08:00-08:50                                         NAC Hall                                                                                                                                                   Friday                                         09:00-09:50                                         NAC Hall"
"5","CSC210(Algorithm Design & Analysis Lab)","Pranav  Bisht","cse","b.tech","cse/4/","0-0-2","Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         NLHC Computer Lab - III                                                                                                                                                   Monday                                         03:00-03:50                                         NLHC Computer Lab - I"
"6","CSC211(Operating Systems Lab)","Annavarapu Chandra Sekhara Rao","cse","b.tech","cse/4/","0-0-2","Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         NLHC Computer Lab - III                                                                                                                                                   Tuesday                                         03:00-03:50                                         NLHC Computer Lab - III"
"7","CSE202(Object Oriented Programming)","Nikhil Tripathi  ,Pranav  Bisht,Tanusree  Kaibartta","cse","b.tech","cse/4/","3-0-0","Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         09:00-09:50                                         NAC Hall                                                                                                                                                   Tuesday                                         09:00-09:50                                         NAC Hall                                                                                                                                                   Wednesday                                         09:00-09:50                                         NAC Hall"
"8","CSC305(Computer Networks)","Chiranjeev  Kumar","cse","b.tech","cse/6/","3-0-0","Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         03:00-03:50                                         NAC Hall                                                                                                                                                   Wednesday                                         03:00-03:50                                         NAC Hall                                                                                                                                                   Thursday                                         03:00-03:50                                         NAC Hall"
"9","CSC306(Software Engineering)","Saurabh  Srivastava","cse","b.tech","cse/6/","3-0-0","Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         03:00-03:50                                         NAC Hall                                                                                                                                                   Wednesday                                         04:00-04:50                                         NAC Hall                                                                                                                                                   Friday                                         03:00-03:50                                         NAC Hall"
"10","CSC307(Computer Networks Lab)","Nikhil Tripathi","cse","b.tech","cse/6/","0-0-2","Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         10:00-10:50                                         NLHC Computer Lab - III                                                                                                                                                   Friday                                         09:00-09:50                                         NLHC Computer Lab - I"
